Configuration	Nucleo_DAQ_Shield
STM32CubeMX 	4.21.0
Date	07/07/2017
MCU	STM32F746ZGTx



PERIPHERALS	MODES	FUNCTIONS	PINS
ADC1	IN3	ADC1_IN3	PA3
ADC2	IN3	ADC2_IN3	PA3
ADC3	IN3	ADC3_IN3	PA3
DAC	DAC_OUT1	DAC_OUT1	PA4
ETH	RMII	ETH_CRS_DV	PA7
ETH	RMII	ETH_MDC	PC1
ETH	RMII	ETH_MDIO	PA2
ETH	RMII	ETH_REF_CLK	PA1
ETH	RMII	ETH_RXD0	PC4
ETH	RMII	ETH_RXD1	PC5
ETH	RMII	ETH_TXD0	PB12
ETH	RMII	ETH_TXD1	PB13
ETH	RMII	ETH_TX_EN	PB11
SYS	SysTick	SYS_VS_Systick	VP_SYS_VS_Systick
TIM3	TI1_ED	TIM3_CH1	PA6
TIM3	ETR2	TIM3_ETR	PD2
TIM9	Internal Clock	TIM9_VS_ClockSourceINT	VP_TIM9_VS_ClockSourceINT
TIM9	PWM Generation CH1	TIM9_CH1	PE5
TIM9	PWM Generation CH2	TIM9_CH2	PE6
TIM12	PWM Generation CH2	TIM12_CH2	PB15



Pin Nb	PINs	FUNCTIONs	LABELs
4	PE5	TIM9_CH1	Motor Reverse
5	PE6	TIM9_CH2	Motor Forward
27	PC1	ETH_MDC	
35	PA1	ETH_REF_CLK	
36	PA2	ETH_MDIO	
37	PA3	ADC1_IN3 ADC2_IN3 ADC3_IN3	Envelope Signal
40	PA4	DAC_OUT1	Gain Function
42	PA6	TIM3_CH1	Encoder Index
43	PA7	ETH_CRS_DV	
44	PC4	ETH_RXD0	
45	PC5	ETH_RXD1	
70	PB11	ETH_TX_EN	
73	PB12	ETH_TXD0	
74	PB13	ETH_TXD1	
76	PB15	TIM12_CH2	Tx Pulse
116	PD2	TIM3_ETR	Encoder A
